Name of settlement,Symbol of a settlement,BJ,Voters,Insulations,Kosher,Truth,third,And the same,G,pure,Zets,Tab,To,Yaz,Will,Jack,about,To,forgave,Meretz,Naz,Ni,Hawk,P.,Here,Twisted,And run,CAN,end,only,Shot
Bnei Yehuda,4015,867,621,2,619,178,1,3,1,0,0,50,0,0,0,0,60,24,111,20,0,0,1,0,116,0,1,33,6,2,12
Benny wicker,1363,187,170,0,170,1,2,0,0,0,0,44,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,118,0,1
Bnei Atarot,448,595,497,0,497,237,4,2,0,0,4,16,0,0,0,0,38,1,59,48,0,0,0,0,73,0,1,7,4,0,3
sons of Aish,1066,5747,4047,75,3972,268,16,0,0,0,0,288,0,0,0,0,327,981,1255,32,2,0,1,1,334,3,1,76,169,4,214
Bnei Zion,418,807,663,1,662,314,1,1,0,0,0,20,0,0,0,0,40,4,77,62,1,0,0,0,127,0,0,9,2,0,4
Benny Ram,588,801,654,3,651,7,36,0,0,0,0,179,0,0,0,0,35,3,193,1,0,0,0,0,20,0,1,0,124,0,52
construction,685,610,529,3,526,219,0,0,0,0,0,31,0,0,0,0,33,8,82,31,0,0,1,0,107,0,0,9,5,0,0
Binyamina-Givat Ada,9800,9165,7018,47,6971,2671,15,13,0,0,1,353,2,0,0,0,527,89,1271,645,5,1,0,1,1087,0,5,89,42,4,150
flavor,1326,5446,3622,56,3566,35,1,3334,1,0,0,0,0,2,0,5,41,0,19,89,1,0,2,21,5,0,2,0,1,1,6
Basmat Tivon,944,4656,2393,39,2354,170,9,1837,1,1,1,7,1,1,0,16,150,4,25,35,0,2,12,57,8,1,2,2,1,0,11
Replied,483,4832,3824,11,3813,12,0,3670,0,1,1,3,0,0,0,0,4,26,7,47,0,0,1,1,1,0,1,0,0,0,38
in trouble,389,691,556,3,553,301,0,0,0,0,0,27,0,0,0,0,21,2,49,44,0,0,0,0,97,0,0,8,4,0,0
Betting,589,286,212,2,210,73,0,3,0,0,0,20,0,0,0,0,15,6,34,6,0,0,0,0,41,0,0,9,1,1,1
In taste,864,440,355,1,354,56,2,0,0,0,0,29,0,0,0,0,49,2,157,3,1,0,0,0,17,0,0,1,17,0,20
Weava,3612,142,115,0,115,24,0,0,0,0,0,10,0,0,0,0,8,0,45,0,1,0,0,0,21,0,0,5,0,0,1
Bar Giora,823,395,300,5,295,50,6,1,0,0,0,26,0,0,0,0,25,3,120,17,0,0,1,0,16,1,0,2,12,0,15
Bar Yochai,1191,423,337,1,336,3,19,0,0,0,0,118,0,0,0,0,10,1,86,0,0,0,1,0,1,0,1,3,56,0,37
Brochin,3744,230,198,0,198,0,1,0,0,0,0,154,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,18,0,0
Clearly,428,674,467,0,467,269,0,1,0,0,0,7,0,0,0,0,30,2,50,43,0,0,0,1,52,0,0,10,1,0,1
cypress,2060,248,187,2,185,32,5,0,0,0,0,10,0,0,0,0,18,2,81,1,0,0,0,0,12,1,0,1,6,0,16
blessing,3710,953,818,2,816,3,1,3,0,0,0,225,0,0,0,0,3,1,476,1,0,0,0,0,1,0,0,1,97,0,4
Her knees,746,696,596,5,591,6,3,0,0,0,0,44,0,0,0,0,12,0,197,0,0,0,0,0,8,0,0,1,289,1,30
Baram,667,483,340,0,340,142,0,0,0,0,0,3,0,0,0,0,9,3,7,144,0,0,0,0,26,0,0,3,0,2,1
Lightning,141,311,225,1,224,75,0,0,0,0,0,19,0,0,0,0,15,6,70,1,0,0,0,0,22,0,0,9,1,0,6
Barkai,617,484,330,3,327,160,1,4,0,0,0,0,1,0,0,0,10,4,6,112,1,0,0,1,17,0,0,9,0,0,1
Barkan,3654,1180,898,2,896,69,2,2,0,0,0,179,0,0,0,1,61,35,436,6,0,0,0,0,71,0,0,21,11,1,1
emerald,2038,971,853,0,853,5,11,0,0,0,0,141,0,0,0,0,41,1,326,1,0,0,2,0,7,0,0,3,244,0,71
Bat Hadar,1323,426,322,0,322,67,3,0,0,0,0,21,0,0,0,0,36,6,109,5,0,0,0,0,57,0,0,5,6,0,7
Bat Chen,1361,500,403,5,398,230,2,1,0,0,1,10,0,0,0,0,22,4,54,18,0,0,0,0,51,0,0,3,2,0,0
Bat Hefer,1319,3573,2831,13,2818,1130,4,3,0,0,0,154,1,0,0,0,241,46,403,153,0,0,0,0,562,0,0,70,29,2,20
Bat Yam,6200,124035,69206,1002,68204,9942,704,123,10,5,21,3513,14,1,0,5,7662,8785,22756,966,12,14,7,14,6344,28,52,823,1651,60,4692
Bat Ayin,3794,703,525,1,524,2,9,0,0,0,0,185,0,0,0,0,3,0,74,1,1,0,3,0,4,2,2,10,212,2,14
Shlomo Bat,33,397,323,3,320,117,1,2,0,0,0,17,1,0,0,0,26,6,49,38,0,0,0,0,46,0,1,13,1,0,2
Jadida-sold,1292,12533,8669,61,8608,195,2,8166,2,0,3,11,0,2,0,7,16,7,25,54,1,1,4,44,7,3,5,4,20,3,26
Jules,485,4233,2532,35,2497,1036,0,140,0,0,0,3,0,0,0,0,332,269,352,22,1,0,0,5,126,0,4,12,62,2,131
Jelgulia,627,5410,4440,16,4424,239,0,3983,0,0,0,5,0,0,0,0,16,2,6,155,0,0,0,12,3,0,0,0,1,1,1
Janabe (Tribe),976,327,125,3,122,9,0,61,0,0,0,3,1,0,0,0,0,1,5,2,0,0,6,4,12,0,2,0,2,7,7
Jisr a-Zarqa,541,7792,4526,23,4503,124,1,3524,1,1,2,6,0,0,0,1,6,0,52,165,0,1,3,20,196,1,2,2,3,1,391
Jesh (lump of milk),487,2309,1374,14,1360,117,1,945,0,1,0,3,0,0,0,0,17,157,3,76,0,0,0,9,7,1,1,3,5,0,14
Jatt,628,7038,3708,31,3677,17,0,3467,0,0,0,1,1,1,0,0,7,1,5,130,0,0,2,16,3,0,1,1,1,0,23
Yemenite Geula,872,273,206,0,206,19,5,16,0,0,0,20,0,0,0,0,49,2,76,2,0,0,0,0,9,0,1,1,1,1,4
Geols,379,647,528,6,522,147,7,0,0,0,0,36,0,0,0,0,89,6,131,18,0,0,0,0,56,0,1,6,5,2,18
Gaul,853,814,640,0,640,251,0,1,0,0,0,17,0,0,0,0,61,16,102,34,0,0,0,0,136,0,1,11,6,2,2
Limits,352,273,165,4,161,48,0,1,0,0,0,4,0,0,0,0,11,9,9,59,0,0,0,0,13,0,0,6,1,0,0
Gear,424,353,269,0,269,147,0,0,0,0,0,10,0,0,0,0,17,4,14,51,0,0,0,0,24,0,0,2,0,0,0
Geva Benjamin,3763,2743,2182,21,2161,67,30,2,1,0,0,363,0,0,0,0,150,55,869,6,0,0,1,0,75,0,1,16,276,0,249
Geva Carmel,683,648,520,4,516,238,4,0,0,0,0,20,0,0,0,0,78,5,76,19,0,0,0,0,56,0,0,10,0,0,10
Geva,86,513,389,2,387,314,0,1,0,0,0,4,0,0,0,0,0,4,9,30,0,0,0,0,18,0,0,7,0,0,0
Stems,2014,258,216,4,212,5,2,0,0,0,0,7,0,0,0,0,24,1,148,0,0,0,0,0,2,0,1,0,14,0,8
The new Givon,3644,1026,758,9,749,100,0,2,1,0,0,95,1,0,0,0,83,27,272,14,1,1,0,0,108,1,1,11,12,0,19
Wild hills,1344,310,255,1,254,80,0,2,0,0,0,15,0,0,0,0,24,4,54,11,0,0,1,0,54,0,0,5,2,0,2
Givat Avni,1293,1612,1203,6,1197,293,5,1,0,0,0,112,0,0,0,0,123,15,353,22,5,0,0,0,200,0,1,13,21,0,33
Givat these,1288,1582,1231,2,1229,648,1,3,0,0,0,21,0,0,0,0,64,7,112,141,1,0,0,0,210,0,0,14,5,0,2
Brener Hill,147,1802,1364,6,1358,774,1,3,0,0,0,37,0,0,0,0,60,10,124,135,1,0,0,0,180,0,0,27,1,0,5
Givat Hashlosha,870,449,348,1,347,220,0,0,0,0,0,11,0,0,0,0,23,5,19,31,1,0,0,0,28,0,0,6,1,0,2
Ze'ev hill,3730,10109,7854,52,7802,567,1051,6,1,0,2,813,1,0,0,0,472,119,2644,64,4,1,0,0,498,0,2,80,599,3,875
Givat Chen,207,299,252,3,249,161,0,0,0,0,0,6,0,0,0,0,11,1,18,20,1,0,0,0,27,0,0,2,1,1,0
Givat Haim (Union),2018,897,691,0,691,500,2,2,0,0,0,7,0,0,0,0,10,5,5,105,0,0,0,0,51,0,1,3,0,0,0
Givat Haim (consolidated),173,868,687,5,682,479,2,1,0,0,0,16,0,0,0,0,22,2,26,80,0,0,0,0,41,0,0,7,2,2,2
Givat Yoav,4021,434,345,2,343,125,0,0,0,0,0,34,0,0,0,0,29,17,52,13,2,0,0,0,51,0,0,11,3,4,2
Givat Ye'arim,787,874,683,2,681,137,11,4,0,0,0,62,0,0,0,0,73,7,230,60,0,0,0,0,45,0,1,6,20,1,24
Givat Yeshayahu,919,446,376,2,374,136,1,1,0,0,0,19,0,0,0,0,40,4,62,48,0,0,0,0,40,0,0,8,7,0,8
Givat July,802,610,461,0,461,55,8,0,0,0,0,42,0,0,0,0,88,8,153,6,0,0,0,0,50,0,1,5,24,0,21
Givat Nili,360,412,333,0,333,67,0,2,0,0,0,12,0,0,0,0,54,0,112,27,0,0,0,0,44,0,1,12,0,1,1
Givat Oz,703,398,269,2,267,150,1,1,0,0,0,10,0,0,0,1,10,1,16,55,0,0,0,0,15,0,0,7,0,0,0
Givat Shmuel,681,16616,13288,53,13235,2156,207,9,1,0,3,3818,0,0,0,0,878,182,3211,362,18,0,0,3,1283,0,0,94,503,7,500
Givat Shapira,1077,210,174,1,173,82,0,4,0,0,0,3,0,0,0,0,8,2,18,14,0,0,0,0,41,0,0,0,1,0,0
Givati,793,592,446,4,442,73,0,0,0,0,2,14,0,0,0,0,99,11,142,5,0,0,0,0,44,0,1,13,14,0,24
Givatayim,6300,45863,33727,241,33486,13526,193,101,1,1,8,1520,3,0,0,0,2595,443,5636,3219,12,2,1,3,5183,3,6,319,268,26,417
Giver,342,296,211,0,211,115,1,0,0,0,0,3,0,0,0,0,12,8,19,13,2,0,0,0,32,0,0,4,0,1,1
Eyebrow,133,644,540,5,535,389,0,0,0,0,0,9,0,1,0,0,16,2,15,52,0,0,0,0,45,0,0,6,0,0,0
Gadot,35,355,243,0,243,153,0,0,0,0,0,6,0,0,0,0,9,3,6,38,0,0,0,0,17,0,0,10,0,1,0
heap,145,259,197,5,192,7,2,0,0,0,0,9,0,0,0,0,18,0,128,0,0,0,0,0,3,1,0,0,2,0,22
Gedona,442,254,190,3,187,33,6,0,0,0,0,11,0,0,0,0,11,5,82,4,0,0,0,0,13,0,1,8,3,0,10
Gedera,2550,15469,11879,105,11774,2793,83,8,0,1,0,875,1,0,0,0,1225,306,3574,372,7,3,5,1,1607,1,8,122,430,7,345
protector,852,342,244,0,244,131,0,1,0,0,0,15,0,0,0,0,8,1,8,43,0,0,0,0,23,0,0,12,0,0,2
Goren,755,351,264,4,260,28,6,0,0,0,0,12,0,0,0,0,30,1,118,1,0,0,0,0,8,0,0,1,2,0,53
Galilee Gurinity,1219,159,107,0,107,22,4,0,0,0,0,3,0,0,0,0,14,2,35,2,0,0,0,0,7,0,0,2,1,0,15
Gazit,457,584,436,0,436,204,0,2,0,0,0,2,0,0,0,0,14,5,11,160,0,0,0,0,31,1,0,5,1,0,0
Carrot,370,356,191,0,191,97,0,2,0,0,0,3,0,0,0,0,7,1,16,49,0,0,0,0,12,0,0,2,0,1,1
Gea,706,523,422,3,419,167,1,1,0,0,0,25,0,0,0,0,47,1,84,10,0,0,0,0,72,0,0,5,3,1,2
Give,196,228,193,0,193,103,2,0,0,0,0,8,0,0,0,0,10,1,18,20,0,0,0,0,28,0,0,3,0,0,0
Gizo,1043,127,102,0,102,25,1,0,0,0,0,6,0,0,0,0,5,0,39,13,0,0,0,0,11,0,0,0,0,0,2
Gilon,1204,860,672,1,671,323,0,1,0,0,0,20,0,0,0,0,48,8,76,48,0,0,0,0,141,0,0,5,1,0,0
Gilat,736,878,671,1,670,78,1,0,0,0,0,44,0,0,0,0,58,15,360,3,1,0,1,0,46,0,1,7,42,0,13
Ginosar,262,519,372,6,366,212,0,1,0,0,0,13,0,0,0,0,17,4,37,24,0,0,0,0,37,0,1,16,3,0,1
Giniger,92,536,382,1,381,242,1,1,0,0,1,6,1,0,0,0,15,6,28,47,0,0,0,1,26,0,0,4,1,1,0
Ginton,863,613,499,1,498,212,3,1,0,0,0,21,0,0,0,0,54,8,72,27,0,0,0,0,83,0,0,9,2,1,5
Goethe,1206,184,134,1,133,37,0,1,0,0,0,6,0,0,0,0,10,15,33,16,1,0,0,0,9,0,0,3,1,1,0
Gitit,3613,187,150,0,150,16,0,0,0,0,0,61,0,0,0,0,10,2,36,1,0,0,0,0,2,0,0,3,19,0,0
Galaon,393,388,264,2,262,133,0,1,0,0,0,5,0,0,0,0,8,1,7,76,0,0,0,0,28,0,0,2,1,0,0
pulley,3606,132,82,0,82,17,0,0,0,0,0,15,0,0,0,0,6,0,21,1,0,0,0,0,22,0,0,0,0,0,0
Rolls,346,318,271,2,269,169,0,4,0,0,0,6,0,0,0,0,9,0,17,28,0,0,0,0,31,0,0,0,0,1,4
Gilad (Even Yitzchak),369,358,272,1,271,185,0,0,0,0,0,3,0,0,0,0,10,1,6,32,0,0,0,0,29,0,0,3,0,1,1
Gamzu,745,631,531,1,530,11,14,0,0,0,0,276,0,0,0,0,17,4,113,7,1,0,0,0,11,0,0,1,59,0,16
The southern garden,1072,304,264,0,264,99,0,0,0,0,0,7,0,0,0,0,37,0,64,7,0,0,0,0,40,0,0,5,2,0,3
Samaria Garden,225,576,452,0,452,228,0,1,0,0,0,11,0,0,0,0,47,5,33,41,0,0,0,0,78,0,0,7,0,0,1
Garden Chaim,239,521,442,3,439,204,1,1,0,0,1,16,0,0,0,0,28,8,30,52,0,0,0,0,89,1,0,7,1,0,0
Garden Yoshiya,734,580,481,1,480,255,0,0,0,0,0,22,0,0,0,0,24,6,35,50,0,0,0,0,78,0,0,7,1,0,2
Gan Yavne,166,14381,11099,71,11028,2248,125,4,0,0,1,866,2,1,0,0,1177,359,3499,210,4,0,2,3,1555,1,5,224,309,10,423
Garden candle,1274,1897,1409,7,1402,394,3,0,0,0,0,108,0,0,0,0,117,46,449,54,0,0,0,0,177,0,1,25,10,0,18
Sorek Garden,311,247,199,1,198,87,2,0,0,0,0,14,0,0,0,0,11,0,30,10,0,0,0,0,38,0,0,5,0,1,0
Shlomo Garden,144,379,304,3,301,215,0,1,0,0,0,8,0,0,0,0,7,0,4,36,0,0,0,0,26,0,0,1,3,0,0
Garden Shmuel,72,854,675,4,671,291,0,3,0,0,0,2,0,0,0,0,10,0,6,318,0,0,0,0,32,0,0,8,0,0,1
Hadar genses,549,600,494,1,493,166,2,0,0,0,0,26,0,0,0,0,50,6,112,11,1,0,0,0,109,0,0,5,3,0,2
disgrace,836,347,286,2,284,93,3,0,0,0,0,14,0,0,0,0,20,7,65,18,0,0,0,0,58,0,0,3,0,0,3
Citrus gardens,1103,229,187,1,186,89,0,0,0,0,1,6,0,0,0,0,8,2,23,19,1,0,0,0,33,0,0,3,1,0,0
Ganei Tal,1371,321,295,0,295,1,4,0,0,0,0,220,0,0,0,0,3,1,39,0,0,0,0,0,6,0,0,1,18,0,2
Gardens John,862,519,401,6,395,127,0,0,0,0,0,12,0,0,0,0,59,5,85,11,1,0,0,0,71,0,0,6,5,2,11
Gardens with,218,200,160,0,160,73,0,1,0,0,0,4,0,0,0,0,11,0,16,17,0,0,0,0,31,0,0,4,2,0,1
Ganei Tikva,229,11599,9175,59,9116,2811,236,11,0,0,5,540,0,1,0,0,708,131,1879,406,2,1,1,0,1445,0,1,84,220,5,629
Volcano,842,580,456,4,452,251,0,0,0,0,0,5,0,0,0,0,9,2,4,145,0,0,0,0,29,0,1,6,0,0,0
Gatchet,463,462,312,2,310,153,0,2,0,0,0,4,0,0,0,0,4,3,12,93,0,0,0,0,28,0,0,10,0,0,1
vine,39,252,197,3,194,4,9,0,0,0,0,18,1,0,0,0,15,1,107,1,0,0,0,1,3,0,0,2,3,1,28
Gropit,1129,293,187,2,185,100,0,0,0,0,0,7,0,0,0,0,5,0,19,30,0,0,0,0,22,0,1,1,0,0,0
Bridge,4022,195,138,1,137,59,0,0,0,0,0,10,0,0,0,0,12,1,16,14,0,0,0,0,14,0,0,9,0,0,2
Ziv Bridge,574,1116,825,6,819,357,1,1,0,0,0,25,0,0,0,0,62,19,146,67,0,0,0,0,133,0,1,4,1,0,2
bridge,305,420,281,0,281,191,0,0,0,0,0,5,0,0,0,0,8,5,16,25,1,0,1,0,23,0,0,6,0,0,0
Gat (kibbutz),340,471,332,1,331,170,0,2,0,0,0,7,0,0,0,0,17,2,17,77,0,0,0,0,33,0,0,4,0,2,0
Gat Rimon,128,195,152,0,152,61,0,0,0,0,1,4,0,0,0,0,22,2,24,9,0,0,0,0,25,0,0,2,0,0,2
Dali'at el Carmel,494,11579,6790,124,6666,1556,3,460,1,0,0,16,0,1,0,4,2506,627,519,126,1,1,1,13,411,4,8,23,1,5,379
Bumblebee,146,219,163,2,161,73,0,0,0,0,0,7,0,0,0,0,23,0,24,1,0,0,0,0,26,0,0,2,1,0,4
Deboria,489,6074,4512,8,4504,15,0,4397,0,1,0,3,0,0,0,3,3,9,10,22,0,0,0,24,1,0,2,2,1,0,11
Debora,849,505,398,0,398,193,0,0,0,0,0,9,0,0,0,0,15,2,17,107,0,0,0,0,47,0,0,4,4,0,0
Descriptive,407,235,163,2,161,99,0,0,0,0,0,3,0,0,0,0,8,4,12,6,0,0,0,0,19,0,1,4,0,1,4
Degania A,62,524,368,2,366,258,0,0,0,0,0,5,0,0,0,0,22,1,16,28,0,0,0,0,30,0,0,6,0,0,0
Degania B,79,526,407,3,404,266,0,0,0,0,0,9,0,0,0,0,18,3,21,37,0,0,0,0,41,0,1,8,0,0,0
Dubby,1067,344,217,0,217,12,5,0,0,0,0,14,0,0,0,0,30,1,129,0,0,0,0,0,1,0,0,1,2,0,22
plane,3747,725,611,3,608,4,1,0,0,0,0,459,0,0,0,0,3,1,73,2,0,0,1,0,0,0,0,5,59,0,0
generation,738,266,220,1,219,94,0,1,0,0,1,10,0,0,0,0,28,1,41,11,0,0,0,0,30,0,0,2,0,0,0
Generations,336,513,384,2,382,245,0,0,0,0,0,14,0,0,0,0,12,3,7,48,0,0,0,0,40,0,1,11,0,0,1
Disting,475,429,259,3,256,7,2,231,0,0,0,0,0,0,0,0,1,0,1,8,0,0,1,5,0,0,0,0,0,0,0
Deyer al-Assad,490,7130,5715,47,5668,134,0,4976,0,1,1,0,0,1,0,6,24,4,25,102,2,0,2,25,3,1,1,5,5,1,349
Deyer Hanna,492,6437,5339,23,5316,92,3,4955,0,1,0,0,0,1,0,2,65,25,34,62,0,2,1,20,11,0,3,1,3,0,35
Dimona,2200,26988,16395,284,16111,1258,156,25,0,0,4,1084,5,0,0,2,1176,1577,6615,76,5,5,4,6,1419,2,16,198,474,12,1992
elk,2063,299,204,1,203,34,0,0,0,0,0,10,0,0,0,0,50,0,83,1,0,0,0,0,7,0,0,3,1,1,13
Dalia,300,670,522,0,522,259,1,2,0,0,0,6,0,0,0,0,8,1,5,195,0,0,0,0,40,0,0,2,1,2,0
Kite,431,588,431,4,427,2,4,0,0,0,0,36,0,0,0,0,51,4,251,0,0,0,0,0,0,0,1,5,12,0,61
Damida,1317,268,188,3,185,4,1,173,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,1
Dan,303,467,357,1,356,179,0,1,0,0,0,3,0,0,0,0,11,2,6,119,0,0,0,0,22,0,0,9,4,0,0
bay,302,554,444,2,442,267,0,1,0,0,0,6,0,0,0,0,28,8,28,39,0,0,0,0,49,0,0,15,0,0,1
palm tree,1241,241,164,0,164,50,0,0,0,0,0,15,0,0,0,0,17,9,35,4,0,0,0,0,29,0,0,5,0,0,0
Dreijat,1349,394,287,2,285,61,0,190,0,0,0,1,0,0,0,0,16,0,2,1,0,0,1,9,0,0,2,1,0,0,1
The van,702,164,102,1,101,43,1,0,0,0,0,3,0,0,0,0,11,2,12,7,0,0,0,0,12,0,0,7,1,0,2
The builders,675,288,208,0,208,132,0,1,0,0,0,4,0,0,0,0,8,0,21,21,0,0,0,0,17,0,0,3,0,1,0
The Hagoshrim,356,562,414,0,414,232,0,0,0,0,0,8,0,0,0,0,26,4,54,32,0,1,0,0,45,0,0,8,0,0,4
Hadar with,191,447,376,0,376,180,1,1,0,0,0,11,0,0,0,0,29,3,24,50,0,0,0,0,67,0,0,8,1,0,1
Hod Hasharon,9700,39575,30748,144,30604,11920,145,34,3,2,4,1175,0,1,0,2,2499,595,5697,1963,8,5,1,2,5124,3,9,397,262,23,730
thanksgiving,726,474,325,2,323,45,1,0,0,0,0,27,0,0,0,0,31,5,153,5,0,0,0,0,28,0,0,3,4,1,20
The Washshala (Tribe),1169,1264,521,6,515,3,0,455,0,0,0,0,0,1,0,0,1,0,1,31,0,0,6,11,2,2,0,0,1,0,1
Husil (tribe),956,973,310,2,308,8,0,283,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,3,1,1,2,1,1,0,1
Happy,1186,1200,934,0,934,52,1,0,0,0,0,494,0,0,0,0,24,1,187,10,0,0,0,0,142,0,1,5,14,0,3
The sore,250,838,588,2,586,340,3,3,0,0,0,14,0,0,0,0,15,0,18,143,0,0,0,0,32,0,0,16,1,0,1
The sowing,307,464,390,0,390,10,3,0,0,0,0,221,0,0,0,0,17,1,94,0,0,0,1,0,2,0,0,2,30,0,9
Striving,434,503,399,1,398,264,3,0,0,0,0,4,0,0,0,0,12,4,13,34,0,0,0,0,49,0,0,12,1,1,1
The Yogev,684,537,434,2,432,267,0,0,0,0,0,15,0,0,0,0,22,5,27,20,0,0,0,0,61,0,0,12,3,0,0
Hila,1208,442,343,1,342,183,0,1,0,0,0,11,0,0,0,0,12,2,15,55,0,0,0,0,41,0,1,14,3,3,1
The Administration,377,571,440,2,438,219,2,0,0,0,0,5,0,0,0,0,17,1,16,124,0,0,0,0,48,0,0,2,1,0,3
The solids,677,637,504,1,503,260,2,3,0,0,0,9,0,0,0,0,25,2,59,50,0,0,0,0,75,0,0,7,8,0,3
The anchor,423,603,462,6,456,220,1,3,0,0,0,10,0,0,0,0,11,1,10,143,0,0,0,0,47,0,0,6,3,0,1
Mount Adar,3769,2668,2135,10,2125,824,2,5,0,0,0,92,0,0,0,0,162,25,392,191,2,0,0,0,388,0,0,17,9,1,15
Mount Gilo,3603,864,694,3,691,86,2,2,0,0,2,93,0,0,0,0,79,13,283,22,1,0,0,0,56,0,0,11,16,1,24
Mount Amusha,1261,159,124,1,123,12,4,0,0,0,0,49,0,0,0,0,9,1,6,13,0,0,0,0,2,0,0,2,25,0,0
Harel,464,199,104,0,104,44,0,2,0,0,0,2,0,0,0,0,6,3,3,29,0,0,0,0,14,0,0,0,0,1,0
oleander,1249,360,292,2,290,129,0,9,0,0,0,0,0,0,0,0,3,2,1,132,0,0,0,0,14,0,0,0,0,0,0
Herzliya,6400,77395,54079,398,53681,18495,578,101,4,1,4,2250,2,0,0,3,4586,1433,11747,3495,19,1,3,5,8040,6,38,719,593,29,1529
Harry,1203,249,199,2,197,89,1,1,0,0,0,4,0,0,0,0,9,1,18,54,0,0,0,0,14,0,0,3,0,3,0
Vered Jericho,3639,173,136,1,135,22,2,0,0,0,0,23,0,0,0,0,15,0,53,1,0,0,0,0,12,0,0,5,0,0,2
Verdon,1133,185,150,2,148,24,0,1,0,0,0,13,0,0,0,0,28,3,48,11,0,0,0,0,9,0,0,1,2,0,8
Zebdiel,815,374,310,2,308,8,19,0,0,0,0,19,0,0,0,0,8,1,163,2,0,0,0,0,1,0,0,2,19,0,66
Shine,44,272,200,1,199,17,3,0,0,0,0,10,0,0,0,0,7,1,101,1,0,0,0,0,15,0,0,2,13,0,29
Zikim,584,586,386,0,386,165,0,2,0,0,0,9,0,0,0,0,12,3,44,112,0,0,0,0,34,0,0,4,1,0,0
Zitan,788,790,661,7,654,60,6,0,0,0,0,25,0,0,0,0,107,1,316,5,0,0,0,0,32,0,0,10,17,1,74
Zichron Yaakov,9300,15214,11711,44,11667,3899,680,15,0,0,1,685,1,1,0,0,972,155,2060,800,6,0,1,0,1635,0,3,115,130,9,499
Zechariah,799,686,554,0,554,42,2,0,0,0,0,26,0,1,0,0,52,4,352,2,0,0,0,0,14,0,1,5,15,0,38
Singer,1290,4088,2583,15,2568,58,1,2310,0,1,0,2,0,1,0,0,6,1,24,127,0,0,0,26,2,0,2,2,2,0,3
female singer,1065,277,229,1,228,1,1,0,0,0,0,19,0,0,0,0,8,0,71,0,0,0,1,1,4,0,0,0,113,0,9
neglected,816,366,277,4,273,8,2,0,0,0,0,24,0,0,0,0,28,3,151,2,0,0,0,0,12,0,1,1,8,0,33
Her arm,2064,223,173,2,171,12,8,0,0,0,0,7,0,0,0,0,7,3,110,0,0,0,0,0,4,0,0,0,14,0,6
starling,975,4632,2254,20,2234,427,0,1372,0,0,2,34,0,0,0,29,116,1,85,59,1,1,4,38,26,1,5,3,0,1,29
Zero,818,432,355,0,355,2,3,0,0,0,0,77,0,0,0,0,17,0,145,2,0,0,0,1,3,0,0,0,40,0,65
Khald (Tribe),986,151,71,2,69,12,0,43,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,2,0,4
Khald,1321,250,147,3,144,42,0,87,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,3,4,0,0,0,0,0,1
Havatzelet Hasharon,235,344,225,6,219,97,3,0,0,0,0,10,0,0,0,0,17,1,29,18,0,0,0,0,33,0,0,2,5,0,4
Member,1110,235,169,2,167,34,0,0,0,0,0,18,0,0,0,0,14,9,57,2,0,0,0,0,20,0,0,3,3,0,7
Hebron,3400,271,231,0,231,2,0,0,0,0,0,90,0,0,0,0,5,0,16,0,0,0,0,0,2,0,0,1,114,0,1
belt,717,657,560,0,560,196,0,1,0,0,0,36,0,0,0,0,40,8,120,29,1,0,0,0,112,0,0,5,4,0,8
Hagai,3764,256,225,0,225,0,0,0,0,0,0,126,0,0,0,0,0,0,34,0,0,0,0,0,0,0,1,0,64,0,0
partridge,205,454,380,2,378,231,0,0,0,0,0,12,0,0,0,0,19,1,18,47,0,0,0,0,41,0,0,7,0,1,1
Ness,4026,576,420,1,419,108,0,0,0,0,0,45,0,0,0,0,41,6,107,14,0,0,0,0,76,0,0,17,1,2,2
Hadid,618,567,470,3,467,45,25,0,0,0,0,62,0,0,0,0,91,3,153,4,2,0,0,0,32,0,0,4,19,0,27
Hadera,6500,69790,45279,553,44726,7093,756,138,1,4,12,2253,1,4,0,3,7044,3747,14386,866,14,6,6,11,4396,9,25,529,623,34,2765
rat,160,515,432,1,431,227,1,2,0,0,0,18,1,0,0,0,19,1,45,38,0,0,0,0,72,0,2,2,3,0,0
Holon,6600,154550,103142,1078,102064,20535,631,91,7,4,13,4959,18,2,0,3,12230,5601,31833,2173,24,10,19,4,12760,20,62,1112,1842,65,8046
Dune,1239,124,81,0,81,31,0,0,0,0,0,8,0,0,0,0,11,2,7,5,0,0,0,0,11,0,0,3,1,0,2
Acquiration,253,389,297,1,296,190,0,0,0,0,0,20,0,0,0,0,10,0,12,27,0,0,0,0,23,0,1,5,8,0,0
sturdiness,662,633,494,2,492,78,1,0,0,0,0,33,0,0,0,0,51,16,226,7,0,0,0,0,24,0,0,6,0,0,50
Hossila,1332,437,271,8,263,1,0,250,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,3
Honor,115,703,552,1,551,315,2,2,0,0,0,8,0,0,0,0,20,3,43,70,0,0,0,0,82,0,0,4,0,0,2
